id,model,rate,image1,image2,description,createdAt,updatedAt
1,QSC K12 2-Way 1000 Watt Powered Speaker w/stand,150,"https://static.wixstatic.com/media/94e10e_85ff6114b2834304bd88a035d0132154~mv2.jpg/v1/fill/w_500,h_500,al_c,q_85/94e10e_85ff6114b2834304bd88a035d0132154~mv2.webp","https://static.wixstatic.com/media/94e10e_aa73e2b279984d66af6bcd6323ee87e6~mv2.jpg/v1/fill/w_500,h_500,al_c,q_85/94e10e_aa73e2b279984d66af6bcd6323ee87e6~mv2.webp","Powerful, lightweight powered loadspeaker.",,
2,Allan & Heath QU-16 Digital Mixing Console,150,"https://static.wixstatic.com/media/94e10e_040a4f69d0594fb8825708955a396687~mv2.jpg/v1/fill/w_801,h_551,al_c,q_85,usm_0.66_1.00_0.01/94e10e_040a4f69d0594fb8825708955a396687~mv2.webp","https://static.wixstatic.com/media/94e10e_fefd73627b684f92948e085944e1c455~mv2.jpg/v1/fill/w_801,h_551,al_c,q_85,usm_0.66_1.00_0.01/94e10e_fefd73627b684f92948e085944e1c455~mv2.webp",16-Channel digital mixer designed for live sound.,,
3,Mackie 1402-VLZ3 14-Channel Mixing Console,75,"https://static.wixstatic.com/media/94e10e_9abb93b21e954b1291ee355de55057ab~mv2.jpg/v1/fill/w_909,h_551,al_c,q_85,usm_0.66_1.00_0.01/94e10e_9abb93b21e954b1291ee355de55057ab~mv2.webp","https://static.wixstatic.com/media/94e10e_3d63353861c745c2a7fa5b8cc6e9bad9~mv2.jpg/v1/fill/w_980,h_263,al_c,q_85,usm_0.66_1.00_0.01/94e10e_3d63353861c745c2a7fa5b8cc6e9bad9~mv2.webp",14-Channel compact analog mixing console for live sound.,,
4,Shure ULX-D Wireless Handheld Microphone,150,"https://static.wixstatic.com/media/94e10e_1d5bfb4d052e4fe0a523ea8a89aea839~mv2.jpg/v1/fill/w_801,h_551,al_c,q_85,usm_0.66_1.00_0.01/94e10e_1d5bfb4d052e4fe0a523ea8a89aea839~mv2.webp","https://static.wixstatic.com/media/94e10e_5d4b9cc48e1c49c18273dcd27e666f17~mv2.jpg/v1/fill/w_801,h_551,al_c,q_85,usm_0.66_1.00_0.01/94e10e_5d4b9cc48e1c49c18273dcd27e666f17~mv2.webp",ULX-D Digital Wireless offers extremely efficient RF performance. ,,
5,Shure ULX-D Wireless Lavaliere Microphone,150,"https://static.wixstatic.com/media/94e10e_1d5bfb4d052e4fe0a523ea8a89aea839~mv2.jpg/v1/fill/w_801,h_551,al_c,q_85,usm_0.66_1.00_0.01/94e10e_1d5bfb4d052e4fe0a523ea8a89aea839~mv2.webp","https://static.wixstatic.com/media/94e10e_f0d70b9ea0c941759f0b5ab244999281~mv2.jpg/v1/fill/w_801,h_551,al_c,q_85,usm_0.66_1.00_0.01/94e10e_f0d70b9ea0c941759f0b5ab244999281~mv2.webp",ULX-D Digital Wireless offers extremely efficient RF performance. ,,
6,Shure MX412 Gooseneck Podium Microphone,35,"https://static.wixstatic.com/media/94e10e_211d914a247945ae87342df46f8d0484~mv2.jpg/v1/fill/w_801,h_551,al_c,q_85,usm_0.66_1.00_0.01/94e10e_211d914a247945ae87342df46f8d0484~mv2.webp",,Adjustable gooseneck microphone for either podium or tabletop use.,,
7,DPA 4066 Omnidirectional Headset Microphone,70,"https://static.wixstatic.com/media/94e10e_b7e298f7cf6145d0a1b2c932fcc2b56f~mv2.jpg/v1/fill/w_500,h_500,al_c,q_85/94e10e_b7e298f7cf6145d0a1b2c932fcc2b56f~mv2.webp",,Adjustable small profile headset microphone.  Requires wireless receiver/transmitter package.,,
8,Shure SM58 Dynamic Vocal Microphone,15,"https://static.wixstatic.com/media/94e10e_0ce22d4296a9491980bd5e1c56875fe8~mv2.jpg/v1/fill/w_801,h_551,al_c,q_85,usm_0.66_1.00_0.01/94e10e_0ce22d4296a9491980bd5e1c56875fe8~mv2.webp",,"The legendary Shure SM58 vocal microphone is designed for professional vocal use in live performance, sound reinforcement, and studio recording.",,
