id,model,type,lumens,price,image1,image2,description,createdAt,updatedAt
1,Eiki LC-XNS3100 Projector,LCD,3300,100,"https://static.wixstatic.com/media/94e10e_fba81bc832fd46969a19ea976e89519f~mv2.jpg/v1/fill/w_960,h_660,al_c,q_85/94e10e_fba81bc832fd46969a19ea976e89519f~mv2.webp","https://static.wixstatic.com/media/94e10e_15111d5fe2714323807b40d9c078d620~mv2.jpg/v1/fill/w_225,h_155,al_c,q_80,usm_0.66_1.00_0.01/94e10e_15111d5fe2714323807b40d9c078d620~mv2.webp",XGA Conference Room Projector,,
2,Eiki EIP-U4700 Projector,DLP,4700,250,"https://static.wixstatic.com/media/94e10e_2d1b51d205524f9e8b8279eaefee08fd.png/v1/fill/w_900,h_613,al_c,q_90/94e10e_2d1b51d205524f9e8b8279eaefee08fd.webp","https://static.wixstatic.com/media/94e10e_2561769bf28f41a9b940187280735578.jpg/v1/fill/w_225,h_225,al_c,q_80,usm_0.66_1.00_0.01/94e10e_2561769bf28f41a9b940187280735578.webp",WUXGA Conference Room Projector,,
3,Eiki EK-305U 3LCD Projector,LCD,5000,300,https://o7apw1mnva631ijznbm4u9ze-wpengine.netdna-ssl.com/wp-content/uploads/2017/09/EK-305U-beauty-image.jpg,https://o7apw1mnva631ijznbm4u9ze-wpengine.netdna-ssl.com/wp-content/uploads/2017/09/EK-305U-rear-image.jpg,WUXGA Conference Room Projector,,
4,EIKI EK-600U Projector,DLP,6000,500,https://www.projectorcentral.com/images/projectors2/img9534.jpg,"https://static.wixstatic.com/media/94e10e_e89a4c106b9e409e8941eefcd33cd445~mv2.jpg/v1/fill/w_225,h_155,al_c,q_80,usm_0.66_1.00_0.01/94e10e_e89a4c106b9e409e8941eefcd33cd445~mv2.webp",WUXGA Conference Room Projector,,
5,Panasonic PT-DZ870 HD DLP Projector,DLP,8500,1000,https://o7apw1mnva631ijznbm4u9ze-wpengine.netdna-ssl.com/wp-content/uploads/2016/05/12704_360wh.jpg,https://o7apw1mnva631ijznbm4u9ze-wpengine.netdna-ssl.com/wp-content/uploads/2016/05/12710_360wh.jpg,WUXGA Large Venue Projector,,
6,Epson Pro L1505U Projector,LCD,12000,750,https://www.projectorcentral.com/images/projectors2/img9461.jpg,"https://static.wixstatic.com/media/94e10e_495c34e9453049a6a0f1b5a759d5cdc8~mv2.jpg/v1/fill/w_225,h_155,al_c,q_80,usm_0.66_1.00_0.01/94e10e_495c34e9453049a6a0f1b5a759d5cdc8~mv2.webp",WUXGA Large Venue Projector,,
7,Panasonic PT-DZ13KU HD DLP Projector,DLP,12000,1500,https://o7apw1mnva631ijznbm4u9ze-wpengine.netdna-ssl.com/wp-content/uploads/2016/06/image-32.jpeg,,WUXGA Large Venue Projector,,
8,Christie HD14K-M Roadster Projector,DLP,14000,2000,https://o7apw1mnva631ijznbm4u9ze-wpengine.netdna-ssl.com/wp-content/uploads/2016/05/12625_360wh.jpg,https://o7apw1mnva631ijznbm4u9ze-wpengine.netdna-ssl.com/wp-content/uploads/2016/05/12624_360wh.jpg,WUXGA Large Venue Projector,,
